dataset,technique,models,modelsPercent,pairs,groups,largestGroup,runtimeSeconds,totalModels
modelset-uml-xmi,hash,2575,50.2930,75723,394,177,17.763453,5120
modelset-uml-xmi,tfidf,4004,78.2031,261084,331,588,88.894897,5120
modelset-uml-xmi,graph-similarity,3275,63.9648,116148,442,221,392.371335,5120
modelset-uml-xmi,bert,4223,82.4805,147504,325,628,191.430106,5120
modelset-uml-xmi,gnn,4456,87.0312,109756,342,353,163.781542,5120
modelset-ecore-xmi,hash,2115,39.3635,3472,772,27,32.790844,5373
modelset-ecore-xmi,tfidf,3695,68.7698,22702,817,294,129.607652,5373
modelset-ecore-xmi,graph-similarity,3388,63.0560,12176,938,86,553.900665,5373
modelset-ecore-xmi,bert,4368,81.2954,46345,550,1954,318.365274,5373
modelset-ecore-xmi,gnn,4224,78.6153,15580,800,123,4346.985106,5373
eamodelset-archimate,hash,75,7.8044,50,34,4,9.087267,961
eamodelset-archimate,tfidf,205,21.3319,237,75,11,13.347511,961
eamodelset-archimate,graph-similarity,114,11.8626,122,43,10,27.536286,961
eamodelset-archimate,bert,240,24.9740,267,86,10,17.130903,961
eamodelset-archimate,gnn,329,34.2352,392,107,18,9.325691,961
sap-sam-bpmn,hash,1848,36.9600,173531,73,266,14.078893,5000
sap-sam-bpmn,tfidf,2832,56.6400,499327,96,2503,100.652760,5000
sap-sam-bpmn,graph-similarity,1933,38.6600,175170,92,269,383.687744,5000
sap-sam-bpmn,bert,3320,66.4000,191376,127,1386,188.546199,5000
sap-sam-bpmn,gnn,3070,61.4000,177119,313,269,157.819704,5000
