technique,threshold,duplicates,unique,matchingPairs
bert,0.05,5372,1,14424139
bert,0.1,5372,1,14415473
bert,0.15,5372,1,14398056
bert,0.2,5372,1,14346192
bert,0.25,5372,1,14207424
bert,0.3,5372,1,13907964
bert,0.35,5372,1,13371124
bert,0.4,5372,1,12516813
bert,0.45,5372,1,11295949
bert,0.5,5371,2,9733199
bert,0.55,5371,2,7917983
bert,0.6,5367,6,5991022
bert,0.65,5359,14,4133045
bert,0.7,5343,30,2503873
bert,0.75,5273,100,1247436
bert,0.8,5053,320,484328
bert,0.85,4534,839,151296
bert,0.9,3818,1555,46345
bert,0.95,2865,2508,19167
bert,1.0,1073,4300,3910
