technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,5372,1,4732556
gnn,0.1,5372,1,2826691
gnn,0.15,5372,1,1671753
gnn,0.2,5372,1,1063945
gnn,0.25,5372,1,750878
gnn,0.3,5372,1,563526
gnn,0.35,5372,1,436295
gnn,0.4,5372,1,340505
gnn,0.45,5372,1,265555
gnn,0.5,5372,1,206291
gnn,0.55,5372,1,157679
gnn,0.6,5369,4,119365
gnn,0.65,5354,19,89378
gnn,0.7,5315,58,66215
gnn,0.75,5201,172,47339
gnn,0.8,4931,442,33978
gnn,0.85,4341,1032,22351
gnn,0.9,3424,1949,15580
gnn,0.95,2543,2830,10839
gnn,1.0,1285,4088,3250
