technique,threshold,duplicates,unique,matchingPairs
graph-similarity,0.05,5372,1,14413253
graph-similarity,0.1,5372,1,14386040
graph-similarity,0.15,5372,1,14237775
graph-similarity,0.2,5372,1,14079919
graph-similarity,0.25,5372,1,13867468
graph-similarity,0.3,5371,2,13480963
graph-similarity,0.35,5371,2,12756830
graph-similarity,0.4,5370,3,11374343
graph-similarity,0.45,5370,3,9235489
graph-similarity,0.5,5370,3,6873138
graph-similarity,0.55,5369,4,4649513
graph-similarity,0.6,5362,11,2819482
graph-similarity,0.65,5338,35,1407248
graph-similarity,0.7,5241,132,487756
graph-similarity,0.75,4598,775,68946
graph-similarity,0.8,3363,2010,24014
graph-similarity,0.85,2809,2564,16023
graph-similarity,0.9,2450,2923,12176
graph-similarity,0.95,2052,3321,8569
graph-similarity,1.0,1321,4052,3425
