technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,5371,2,14390576
tfidf,0.1,5371,2,14187966
tfidf,0.15,5371,2,13859691
tfidf,0.2,5369,4,13344882
tfidf,0.25,5364,9,12528927
tfidf,0.3,5360,13,11452217
tfidf,0.35,5353,20,10165845
tfidf,0.4,5337,36,8737921
tfidf,0.45,5301,72,7199450
tfidf,0.5,5272,101,5624316
tfidf,0.55,5202,171,4078580
tfidf,0.6,5105,268,2681050
tfidf,0.65,4970,403,1538459
tfidf,0.7,4726,647,764568
tfidf,0.75,4418,955,331927
tfidf,0.8,3974,1399,127389
tfidf,0.85,3470,1903,49029
tfidf,0.9,2878,2495,22702
tfidf,0.95,2384,2989,15811
tfidf,1.0,1236,4137,3249
