technique,threshold,duplicates,unique,matchingPairs
bert,0.05,4999,1,12488262
bert,0.1,4999,1,12447875
bert,0.15,4999,1,12367792
bert,0.2,4999,1,12272154
bert,0.25,4999,1,12110853
bert,0.3,4999,1,11851357
bert,0.35,4999,1,11493137
bert,0.4,4999,1,11008235
bert,0.45,4998,2,10318570
bert,0.5,4993,7,9379742
bert,0.55,4992,8,8273735
bert,0.6,4989,11,6982589
bert,0.65,4975,25,5550334
bert,0.7,4933,67,4064953
bert,0.75,4843,157,2651421
bert,0.8,4633,367,1480869
bert,0.85,4091,909,525096
bert,0.9,3193,1807,191376
bert,0.95,2181,2819,176234
bert,1.0,1185,3815,106002
