technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,4999,1,2532762
gnn,0.1,4999,1,1461792
gnn,0.15,4999,1,953218
gnn,0.2,4999,1,686652
gnn,0.25,4998,2,532331
gnn,0.3,4997,3,437721
gnn,0.35,4996,4,373264
gnn,0.4,4996,4,325295
gnn,0.45,4996,4,289422
gnn,0.5,4995,5,260318
gnn,0.55,4994,6,238235
gnn,0.6,4991,9,220956
gnn,0.65,4970,30,207925
gnn,0.7,4910,90,197784
gnn,0.75,4735,265,189844
gnn,0.8,4323,677,184038
gnn,0.85,3617,1383,179734
gnn,0.9,2757,2243,177119
gnn,0.95,2103,2897,175752
gnn,1.0,1738,3262,162862
