technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,4957,43,12263078
tfidf,0.1,4957,43,12193360
tfidf,0.15,4953,47,12151032
tfidf,0.2,4951,49,12108354
tfidf,0.25,4945,55,12044606
tfidf,0.3,4939,61,11934452
tfidf,0.35,4931,69,11743802
tfidf,0.4,4921,79,11440347
tfidf,0.45,4902,98,11078492
tfidf,0.5,4872,128,10634097
tfidf,0.55,4820,180,10060395
tfidf,0.6,4754,246,9284177
tfidf,0.65,4637,363,8269713
tfidf,0.7,4482,518,6992668
tfidf,0.75,4245,755,5493938
tfidf,0.8,3854,1146,3833482
tfidf,0.85,3368,1632,2019294
tfidf,0.9,2736,2264,499327
tfidf,0.95,2107,2893,184429
tfidf,1.0,1483,3517,146231
