technique,threshold,duplicates,unique,matchingPairs
bert_semantic,0.05,960,1,457785
bert_semantic,0.1,960,1,450818
bert_semantic,0.15,960,1,437612
bert_semantic,0.2,960,1,416283
bert_semantic,0.25,960,1,385947
bert_semantic,0.3,960,1,344921
bert_semantic,0.35,959,2,295685
bert_semantic,0.4,959,2,240214
bert_semantic,0.45,957,4,183993
bert_semantic,0.5,954,7,131550
bert_semantic,0.55,944,17,87269
bert_semantic,0.6,913,48,52959
bert_semantic,0.65,855,106,28573
bert_semantic,0.7,771,190,13196
bert_semantic,0.75,634,327,4992
bert_semantic,0.8,467,494,1555
bert_semantic,0.85,260,701,511
bert_semantic,0.9,154,807,267
bert_semantic,0.95,93,868,154
bert_semantic,1.0,32,929,45
