technique,threshold,duplicates,unique,matchingPairs
graph_similarity,0.05,960,1,457327
graph_similarity,0.1,960,1,447848
graph_similarity,0.15,960,1,422839
graph_similarity,0.2,960,1,366624
graph_similarity,0.25,960,1,284487
graph_similarity,0.3,960,1,197110
graph_similarity,0.35,959,2,119951
graph_similarity,0.4,956,5,62225
graph_similarity,0.45,921,40,26692
graph_similarity,0.5,817,144,9360
graph_similarity,0.55,599,362,2692
graph_similarity,0.6,384,577,912
graph_similarity,0.65,232,729,441
graph_similarity,0.7,155,806,292
graph_similarity,0.75,124,837,225
graph_similarity,0.8,104,857,183
graph_similarity,0.85,90,871,160
graph_similarity,0.9,71,890,122
graph_similarity,0.95,53,908,78
graph_similarity,1.0,39,922,48
