technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,955,6,59890
tfidf,0.1,925,36,26239
tfidf,0.15,863,98,14833
tfidf,0.2,779,182,9339
tfidf,0.25,666,295,6065
tfidf,0.3,593,368,4108
tfidf,0.35,510,451,2807
tfidf,0.4,449,512,1991
tfidf,0.45,399,562,1491
tfidf,0.5,349,612,1115
tfidf,0.55,305,656,864
tfidf,0.6,270,691,687
tfidf,0.65,241,720,571
tfidf,0.7,213,748,471
tfidf,0.75,179,782,374
tfidf,0.8,157,804,300
tfidf,0.85,138,823,255
tfidf,0.9,116,845,213
tfidf,0.95,88,873,155
tfidf,1.0,39,922,48
