technique,threshold,duplicates,unique,matchingPairs
bert_semantic,0.05,5399,1,14569537
bert_semantic,0.1,5399,1,14560826
bert_semantic,0.15,5399,1,14543323
bert_semantic,0.2,5399,1,14491013
bert_semantic,0.25,5399,1,14350471
bert_semantic,0.3,5399,1,14046842
bert_semantic,0.35,5399,1,13502512
bert_semantic,0.4,5399,1,12636694
bert_semantic,0.45,5399,1,11400989
bert_semantic,0.5,5398,2,9820073
bert_semantic,0.55,5398,2,7986158
bert_semantic,0.6,5394,6,6040194
bert_semantic,0.65,5386,14,4164513
bert_semantic,0.7,5370,30,2522203
bert_semantic,0.75,5298,102,1256502
bert_semantic,0.8,5076,324,487147
bert_semantic,0.85,4557,843,152258
bert_semantic,0.9,3841,1559,46579
bert_semantic,0.95,2883,2517,19213
bert_semantic,1.0,1168,4232,4607
