technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,5399,1,4690080
gnn,0.1,5399,1,2811407
gnn,0.15,5399,1,1723050
gnn,0.2,5399,1,1158029
gnn,0.25,5399,1,849358
gnn,0.3,5399,1,653114
gnn,0.35,5399,1,514532
gnn,0.4,5399,1,405162
gnn,0.45,5399,1,321014
gnn,0.5,5399,1,252872
gnn,0.55,5399,1,197769
gnn,0.6,5399,1,152600
gnn,0.65,5396,4,116415
gnn,0.7,5377,23,87358
gnn,0.75,5306,94,63355
gnn,0.8,5100,300,44210
gnn,0.85,4631,769,29908
gnn,0.9,3754,1646,19706
gnn,0.95,2763,2637,12207
gnn,1.0,1280,4120,3178
