technique,threshold,duplicates,unique,matchingPairs
graph_similarity,0.05,5399,1,14558613
graph_similarity,0.1,5399,1,14531438
graph_similarity,0.15,5399,1,14382547
graph_similarity,0.2,5399,1,14217123
graph_similarity,0.25,5399,1,13987812
graph_similarity,0.3,5398,2,13588363
graph_similarity,0.35,5398,2,12849285
graph_similarity,0.4,5397,3,11442842
graph_similarity,0.45,5397,3,9283560
graph_similarity,0.5,5397,3,6906039
graph_similarity,0.55,5396,4,4670889
graph_similarity,0.6,5389,11,2831365
graph_similarity,0.65,5363,37,1411628
graph_similarity,0.7,5266,134,488238
graph_similarity,0.75,4621,779,69094
graph_similarity,0.8,3386,2014,24086
graph_similarity,0.85,2829,2571,16069
graph_similarity,0.9,2467,2933,12211
graph_similarity,0.95,2067,3333,8583
graph_similarity,1.0,1336,4064,3447
