technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,5398,2,3112526
tfidf,0.1,5396,4,1308612
tfidf,0.15,5381,19,694571
tfidf,0.2,5347,53,427518
tfidf,0.25,5279,121,286905
tfidf,0.3,5151,249,201629
tfidf,0.35,4933,467,146310
tfidf,0.4,4757,643,109801
tfidf,0.45,4552,848,84391
tfidf,0.5,4298,1102,65058
tfidf,0.55,4052,1348,50981
tfidf,0.6,3839,1561,40988
tfidf,0.65,3604,1796,33912
tfidf,0.7,3350,2050,28099
tfidf,0.75,3128,2272,23483
tfidf,0.8,2880,2520,20392
tfidf,0.85,2668,2732,18061
tfidf,0.9,2411,2989,15918
tfidf,0.95,2123,3277,13096
tfidf,1.0,1297,4103,3421
