technique,threshold,duplicates,unique,matchingPairs
bert_semantic,0.05,5119,1,13101380
bert_semantic,0.1,5119,1,13090805
bert_semantic,0.15,5119,1,13057108
bert_semantic,0.2,5119,1,12968255
bert_semantic,0.25,5119,1,12762641
bert_semantic,0.3,5119,1,12268545
bert_semantic,0.35,5119,1,11303846
bert_semantic,0.4,5119,1,9725671
bert_semantic,0.45,5119,1,7972691
bert_semantic,0.5,5118,2,6077605
bert_semantic,0.55,5116,4,4322032
bert_semantic,0.6,5115,5,2764283
bert_semantic,0.65,5107,13,1588893
bert_semantic,0.7,5080,40,901041
bert_semantic,0.75,5003,117,508644
bert_semantic,0.8,4809,311,294773
bert_semantic,0.85,4417,703,200331
bert_semantic,0.9,3877,1243,150728
bert_semantic,0.95,3275,1845,124682
bert_semantic,1.0,1840,3280,70584
