technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,5119,1,3256898
gnn,0.1,5119,1,1669834
gnn,0.15,5119,1,978573
gnn,0.2,5119,1,682345
gnn,0.25,5119,1,527576
gnn,0.3,5118,2,431014
gnn,0.35,5118,2,359163
gnn,0.4,5118,2,306002
gnn,0.45,5118,2,266402
gnn,0.5,5118,2,232106
gnn,0.55,5118,2,205038
gnn,0.6,5115,5,185173
gnn,0.65,5103,17,168091
gnn,0.7,5075,45,155383
gnn,0.75,5011,109,144801
gnn,0.8,4849,271,135000
gnn,0.85,4546,574,126486
gnn,0.9,4082,1038,118832
gnn,0.95,3467,1653,107809
gnn,1.0,2043,3077,65333
