technique,threshold,duplicates,unique,matchingPairs
graph_similarity,0.05,5119,1,13104632
graph_similarity,0.1,5119,1,13099618
graph_similarity,0.15,5119,1,13020567
graph_similarity,0.2,5119,1,12432363
graph_similarity,0.25,5119,1,11270512
graph_similarity,0.3,5119,1,9378074
graph_similarity,0.35,5119,1,7462805
graph_similarity,0.4,5119,1,5686296
graph_similarity,0.45,5119,1,3751998
graph_similarity,0.5,5119,1,2266498
graph_similarity,0.55,5114,6,1265293
graph_similarity,0.6,5080,40,653569
graph_similarity,0.65,4932,188,333795
graph_similarity,0.7,4585,535,200874
graph_similarity,0.75,3926,1194,156190
graph_similarity,0.8,3504,1616,139406
graph_similarity,0.85,3149,1971,129243
graph_similarity,0.9,2869,2251,119116
graph_similarity,0.95,2641,2479,106939
graph_similarity,1.0,2072,3048,70511
