technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,5118,2,3402886
tfidf,0.1,5111,9,2298977
tfidf,0.15,5095,25,1681280
tfidf,0.2,5069,51,1328615
tfidf,0.25,5022,98,1123654
tfidf,0.3,4971,149,958445
tfidf,0.35,4898,222,804658
tfidf,0.4,4794,326,656561
tfidf,0.45,4683,437,521413
tfidf,0.5,4554,566,430552
tfidf,0.55,4421,699,337216
tfidf,0.6,4294,826,274629
tfidf,0.65,4124,996,230719
tfidf,0.7,3973,1147,207346
tfidf,0.75,3797,1323,184257
tfidf,0.8,3647,1473,163120
tfidf,0.85,3443,1677,146412
tfidf,0.9,3221,1899,130815
tfidf,0.95,2925,2195,119425
tfidf,1.0,2000,3120,73158
