technique,threshold,duplicates,unique,matchingPairs
bert_semantic,0.05,4999,1,12488262
bert_semantic,0.1,4999,1,12447875
bert_semantic,0.15,4999,1,12367792
bert_semantic,0.2,4999,1,12272154
bert_semantic,0.25,4999,1,12110853
bert_semantic,0.3,4999,1,11851357
bert_semantic,0.35,4999,1,11493138
bert_semantic,0.4,4999,1,11008235
bert_semantic,0.45,4998,2,10318569
bert_semantic,0.5,4993,7,9379738
bert_semantic,0.55,4992,8,8273735
bert_semantic,0.6,4989,11,6982588
bert_semantic,0.65,4975,25,5550334
bert_semantic,0.7,4933,67,4064952
bert_semantic,0.75,4843,157,2651419
bert_semantic,0.8,4633,367,1480869
bert_semantic,0.85,4091,909,525096
bert_semantic,0.9,3193,1807,191376
bert_semantic,0.95,2181,2819,176234
bert_semantic,1.0,1639,3361,169082
