technique,threshold,duplicates,unique,matchingPairs
gnn,0.05,4999,1,2350779
gnn,0.1,4999,1,1323164
gnn,0.15,4999,1,842659
gnn,0.2,4999,1,618043
gnn,0.25,4999,1,496253
gnn,0.3,4999,1,417220
gnn,0.35,4998,2,360277
gnn,0.4,4998,2,316692
gnn,0.45,4996,4,282793
gnn,0.5,4995,5,256469
gnn,0.55,4992,8,235641
gnn,0.6,4987,13,219483
gnn,0.65,4968,32,206881
gnn,0.7,4901,99,196668
gnn,0.75,4734,266,189244
gnn,0.8,4358,642,183783
gnn,0.85,3689,1311,179678
gnn,0.9,2862,2138,177182
gnn,0.95,2107,2893,175397
gnn,1.0,1734,3266,166354
