technique,threshold,duplicates,unique,matchingPairs
tfidf,0.05,4903,97,1609639
tfidf,0.1,4853,147,867429
tfidf,0.15,4654,346,591019
tfidf,0.2,4367,633,453898
tfidf,0.25,4038,962,414293
tfidf,0.3,3666,1334,340378
tfidf,0.35,3369,1631,259045
tfidf,0.4,3099,1901,254741
tfidf,0.45,2835,2165,251740
tfidf,0.5,2667,2333,182325
tfidf,0.55,2503,2497,181025
tfidf,0.6,2366,2634,179769
tfidf,0.65,2261,2739,178593
tfidf,0.7,2144,2856,177812
tfidf,0.75,2065,2935,177155
tfidf,0.8,2004,2996,176521
tfidf,0.85,1963,3037,175706
tfidf,0.9,1923,3077,174604
tfidf,0.95,1875,3125,174094
tfidf,1.0,1776,3224,173532
